;Kalimat;Kelas;Propocessing;Lowers
0;['salah', 'merk', 'sepatu', 'nama'];ood;salah, merk, sepatu, nama;salah, merk, sepatu, nama
1;['tampil', 'batas', 'sks', 'maksimum', 'ambil', 'semester'];id;tampil, batas, sks, maksimum, ambil, semester;tampil, batas, sks, maksimum, ambil, semester
2;['mana', 'letak', 'bumi'];ood;mana, letak, bumi;mana, letak, bumi
3;['tampil', 'sks', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, sks, mata, kuliah, algoritma, pemrograman;tampil, sks, mata, kuliah, algoritma, pemrograman
4;['kriteria', 'mahasiswa'];ood;kriteria, mahasiswa;kriteria, mahasiswa
5;['temu', 'nama', 'mahasiswa', 'milik', 'nim'];id;temu, nama, mahasiswa, milik, nim;temu, nama, mahasiswa, milik, nim
6;['tampil', 'jadwal', 'mata', 'kuliah', 'struktur', 'data'];id;tampil, jadwal, mata, kuliah, struktur, data;tampil, jadwal, mata, kuliah, struktur, data
7;['tampil', 'semester', 'pendek', 'semester'];id;tampil, semester, pendek, semester;tampil, semester, pendek, semester
8;['tampil', 'kartu', 'hasil', 'studi', 'semester'];id;tampil, kartu, hasil, studi, semester;tampil, kartu, hasil, studi, semester
9;['tampil', 'isi', 'krs'];id;tampil, isi, krs;tampil, isi, krs
10;['tampil', 'transkip', 'nilai'];id;tampil, transkip, nilai;tampil, transkip, nilai
11;['tampil', 'informasi', 'data', 'pribadi'];id;tampil, informasi, data, pribadi;tampil, informasi, data, pribadi
12;['sebab', 'kanker'];ood;sebab, kanker;sebab, kanker
13;['semester'];id;semester;semester
14;['data', 'mahasiswa', 'ipk'];id;data, mahasiswa, ipk;data, mahasiswa, ipk
15;['tampil', 'ip', 'semester'];id;tampil, ip, semester;tampil, ip, semester
16;['sks', 'semester'];id;sks, semester;sks, semester
17;['nomor', 'induk', 'mahasiswa'];id;nomor, induk, mahasiswa;nomor, induk, mahasiswa
18;['temu', 'aplikasi', 'chatbot', 'dunia'];ood;temu, aplikasi, chatbot, dunia;temu, aplikasi, chatbot, dunia
19;['syukur'];ood;syukur;syukur
20;['menajemen', 'kuliah', 'organisasi'];ood;menajemen, kuliah, organisasi;menajemen, kuliah, organisasi
21;['tampil', 'batas', 'isi', 'krs'];id;tampil, batas, isi, krs;tampil, batas, isi, krs
22;['semester', 'pendek', 'semester'];id;semester, pendek, semester;semester, pendek, semester
23;['kartu', 'hasil', 'studi', 'semester'];id;kartu, hasil, studi, semester;kartu, hasil, studi, semester
24;['sks', 'maksimum', 'ambil', 'semester'];id;sks, maksimum, ambil, semester;sks, maksimum, ambil, semester
25;['maksimum', 'ambil', 'semester', 'pendek'];id;maksimum, ambil, semester, pendek;maksimum, ambil, semester, pendek
26;['sks', 'semester'];id;sks, semester;sks, semester
27;['novel', 'tere', 'liye', 'karya', 'sastra'];ood;novel, tere, liye, karya, sastra;novel, tere, liye, karya, sastra
28;['tanggal', 'isi', 'krs'];id;tanggal, isi, krs;tanggal, isi, krs
29;['perintah', 'kota', 'bandung', 'diri'];ood;perintah, kota, bandung, diri;perintah, kota, bandung, diri
30;['kumpul', 'tugas', 'website', 'elarning', 'unsri'];ood;kumpul, tugas, website, elarning, unsri;kumpul, tugas, website, elarning, unsri
31;['sks', 'semester'];id;sks, semester;sks, semester
32;['nama', 'mahasiswa', 'milik', 'nim'];id;nama, mahasiswa, milik, nim;nama, mahasiswa, milik, nim
33;['tampil', 'mata', 'kuliah', 'nilai', 'a'];id;tampil, mata, kuliah, nilai, a;tampil, mata, kuliah, nilai, a
34;['mata', 'kuliah', 'nilai', 'a'];id;mata, kuliah, nilai, a;mata, kuliah, nilai, a
35;['kartu', 'hasil', 'studi', 'semester'];id;kartu, hasil, studi, semester;kartu, hasil, studi, semester
36;['varian', 'martabak', 'spesial', 'sedia'];ood;varian, martabak, spesial, sedia;varian, martabak, spesial, sedia
37;['mana', 'letak', 'ruang', 'laboratorium', 'data', 'science', 'fakultas', 'ilmu', 'komputer', 'unsri'];ood;mana, letak, ruang, laboratorium, data, science, fakultas, ilmu, komputer, unsri;mana, letak, ruang, laboratorium, data, science, fakultas, ilmu, komputer, unsri
38;['jadwal', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;jadwal, mata, kuliah, algoritma, pemrograman;jadwal, mata, kuliah, algoritma, pemrograman
39;['ipk'];ood;ipk;ipk
40;['sks', 'maksimum', 'ambil', 'semester'];id;sks, maksimum, ambil, semester;sks, maksimum, ambil, semester
41;['tampil', 'history', 'mata', 'kuliah', 'algoritma', 'pemrogramman'];id;tampil, history, mata, kuliah, algoritma, pemrogramman;tampil, history, mata, kuliah, algoritma, pemrogramman
42;['diri', 'unsri'];ood;diri, unsri;diri, unsri
43;['tulang', 'rusuk', 'lakilaki'];ood;tulang, rusuk, lakilaki;tulang, rusuk, lakilaki
44;['giat', 'mahasiswa', 'dukung', 'universitas', 'luar', 'akademik'];ood;giat, mahasiswa, dukung, universitas, luar, akademik;giat, mahasiswa, dukung, universitas, luar, akademik
45;['tampil', 'data', 'mahasiswa', 'angkat', 'blm', 'lulus'];id;tampil, data, mahasiswa, angkat, blm, lulus;tampil, data, mahasiswa, angkat, blm, lulus
46;['nama', 'rektor', 'universitas', 'sriwijaya'];ood;nama, rektor, universitas, sriwijaya;nama, rektor, universitas, sriwijaya
47;['tolong', 'daftar', 'nama', 'mahasiswa', 'jenis', 'kelamin', 'wanita'];id;tolong, daftar, nama, mahasiswa, jenis, kelamin, wanita;tolong, daftar, nama, mahasiswa, jenis, kelamin, wanita
48;['rekap', 'nilai'];id;rekap, nilai;rekap, nilai
49;['kondisi', 'kampus'];ood;kondisi, kampus;kondisi, kampus
50;['tampil', 'profil', 'dosen', 'nama', 'abdiansyah'];id;tampil, profil, dosen, nama, abdiansyah;tampil, profil, dosen, nama, abdiansyah
51;['tampil', 'mata', 'kuliah', 'ambil', 'semester', 'pendek'];id;tampil, mata, kuliah, ambil, semester, pendek;tampil, mata, kuliah, ambil, semester, pendek
52;['kartu', 'hasil', 'studi', 'semester'];id;kartu, hasil, studi, semester;kartu, hasil, studi, semester
53;['orang', 'pasti'];ood;orang, pasti;orang, pasti
54;['tampil', 'kartu', 'hasil', 'studi', 'semester'];id;tampil, kartu, hasil, studi, semester;tampil, kartu, hasil, studi, semester
55;['sks', 'ambil', 'semester'];id;sks, ambil, semester;sks, ambil, semester
56;['nip', 'dosen', 'nama', 'abdiansyah'];id;nip, dosen, nama, abdiansyah;nip, dosen, nama, abdiansyah
57;['tampil', 'hasil', 'test', 'usept'];id;tampil, hasil, test, usept;tampil, hasil, test, usept
58;['ip', 'semester'];id;ip, semester;ip, semester
59;['raja', 'korea', 'selatan'];ood;raja, korea, selatan;raja, korea, selatan
60;['lihat', 'mahasiswa', 'tinggal', 'bandung', 'nama', 'ahmad'];id;lihat, mahasiswa, tinggal, bandung, nama, ahmad;lihat, mahasiswa, tinggal, bandung, nama, ahmad
61;['nama', 'dosen', 'ampu', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;nama, dosen, ampu, mata, kuliah, algoritma, pemrograman;nama, dosen, ampu, mata, kuliah, algoritma, pemrograman
62;['luas', 'unsri'];ood;luas, unsri;luas, unsri
63;['tampil', 'total', 'sks', 'tempuh'];id;tampil, total, sks, tempuh;tampil, total, sks, tempuh
64;['tampil', 'khs', 'semester', 'pendek'];id;tampil, khs, semester, pendek;tampil, khs, semester, pendek
65;['tulis', 'buku', 'bumi'];ood;tulis, buku, bumi;tulis, buku, bumi
66;['sebut', 'nama', 'dosen', 'ajar', 'bidang', 'jaring', 'komputer'];id;sebut, nama, dosen, ajar, bidang, jaring, komputer;sebut, nama, dosen, ajar, bidang, jaring, komputer
67;['sks', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;sks, mata, kuliah, algoritma, pemrograman;sks, mata, kuliah, algoritma, pemrograman
68;['nama', 'mahasiswa', 'milik', 'nim'];id;nama, mahasiswa, milik, nim;nama, mahasiswa, milik, nim
69;['nama', 'mata', 'kuliah', 'kode', 'kelas', 'fik'];id;nama, mata, kuliah, kode, kelas, fik;nama, mata, kuliah, kode, kelas, fik
70;['sks', 'tempuh', 'lulus', 'jurus', 'teknik', 'informatika'];id;sks, tempuh, lulus, jurus, teknik, informatika;sks, tempuh, lulus, jurus, teknik, informatika
71;['temu', 'kode', 'mata', 'kuliah', 'kalkulus'];id;temu, kode, mata, kuliah, kalkulus;temu, kode, mata, kuliah, kalkulus
72;['total', 'sks', 'tempuh'];id;total, sks, tempuh;total, sks, tempuh
73;['mata', 'kuliah', 'ambil', 'semester', 'pendek'];id;mata, kuliah, ambil, semester, pendek;mata, kuliah, ambil, semester, pendek
74;['tampil', 'mahasiswa'];id;tampil, mahasiswa;tampil, mahasiswa
75;['tulis', 'buku', 'apaapa'];ood;tulis, buku, apaapa;tulis, buku, apaapa
76;['kode', 'mata', 'kuliah', 'struktur', 'data'];id;kode, mata, kuliah, struktur, data;kode, mata, kuliah, struktur, data
77;['nama', 'manajer', 'ebi'];ood;nama, manajer, ebi;nama, manajer, ebi
78;['ipk', 'semester'];id;ipk, semester;ipk, semester
79;['buku', 'judul', 'daun', 'jatuh', 'membeci', 'angin', 'tulis'];ood;buku, judul, daun, jatuh, membeci, angin, tulis;buku, judul, daun, jatuh, membeci, angin, tulis
80;['kartu', 'anggota', 'pustaka'];ood;kartu, anggota, pustaka;kartu, anggota, pustaka
81;['history', 'usept'];id;history, usept;history, usept
82;['design', 'web', 'profesional'];ood;design, web, profesional;design, web, profesional
83;['orang', 'terima', 'trust', 'issue', 'annisa', 'fitri'];ood;orang, terima, trust, issue, annisa, fitri;orang, terima, trust, issue, annisa, fitri
84;['ruang', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;ruang, mata, kuliah, algoritma, pemrograman;ruang, mata, kuliah, algoritma, pemrograman
85;['tampil', 'tanggal', 'tenggat', 'isi', 'kprs'];id;tampil, tanggal, tenggat, isi, kprs;tampil, tanggal, tenggat, isi, kprs
86;['tampil', 'history', 'mata', 'kuliah', 'struktur', 'diskrit'];id;tampil, history, mata, kuliah, struktur, diskrit;tampil, history, mata, kuliah, struktur, diskrit
87;['sebut', 'nama', 'alamat', 'kota', 'mahasiswa'];id;sebut, nama, alamat, kota, mahasiswa;sebut, nama, alamat, kota, mahasiswa
88;['ubah', 'warna', 'font', 'web'];ood;ubah, warna, font, web;ubah, warna, font, web
89;['hobi', 'nonton'];ood;hobi, nonton;hobi, nonton
90;['tampil', 'sks', 'maksimum', 'ambil', 'semester'];id;tampil, sks, maksimum, ambil, semester;tampil, sks, maksimum, ambil, semester
91;['tampil', 'nama', 'dosen', 'ampu', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, nama, dosen, ampu, mata, kuliah, algoritma, pemrograman;tampil, nama, dosen, ampu, mata, kuliah, algoritma, pemrograman
92;['tampil', 'ipk', 'semester'];id;tampil, ipk, semester;tampil, ipk, semester
93;['orang', 'cerdas', 'dunia'];ood;orang, cerdas, dunia;orang, cerdas, dunia
94;['judul', 'puisi', 'karya', 'supardi', 'djoko', 'damono'];ood;judul, puisi, karya, supardi, djoko, damono;judul, puisi, karya, supardi, djoko, damono
95;['tampil', 'mata', 'kuliah', 'nilai', 'b'];id;tampil, mata, kuliah, nilai, b;tampil, mata, kuliah, nilai, b
96;['ipk', 'semester'];id;ipk, semester;ipk, semester
97;['nama', 'dekan', 'fakultas', 'teknik', 'universitas', 'sriwijaya'];ood;nama, dekan, fakultas, teknik, universitas, sriwijaya;nama, dekan, fakultas, teknik, universitas, sriwijaya
98;['tampil', 'nama', 'dosen', 'ampu', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, nama, dosen, ampu, mata, kuliah, algoritma, pemrograman;tampil, nama, dosen, ampu, mata, kuliah, algoritma, pemrograman
99;['nama', 'fisikawan', 'teoretis', 'lahir', 'jerman'];ood;nama, fisikawan, teoretis, lahir, jerman;nama, fisikawan, teoretis, lahir, jerman
100;['ipk', 'semester'];id;ipk, semester;ipk, semester
101;['tampil', 'nomor', 'induk', 'pegawai', 'dosen', 'pa'];id;tampil, nomor, induk, pegawai, dosen, pa;tampil, nomor, induk, pegawai, dosen, pa
102;['harga', 'martabak', 'varian', 'spesial'];ood;harga, martabak, varian, spesial;harga, martabak, varian, spesial
103;['ip', 'semester'];id;ip, semester;ip, semester
104;['kartu', 'rencana', 'studi', 'semester', 'pendek'];id;kartu, rencana, studi, semester, pendek;kartu, rencana, studi, semester, pendek
105;['mata', 'kuliah', 'nilai', 'e'];id;mata, kuliah, nilai, e;mata, kuliah, nilai, e
106;['tampil', 'nomor', 'induk', 'mahasiswa'];id;tampil, nomor, induk, mahasiswa;tampil, nomor, induk, mahasiswa
107;['mana', 'fakultas', 'mipa', 'unsri'];ood;mana, fakultas, mipa, unsri;mana, fakultas, mipa, unsri
108;['mahasiswa', 'teknik', 'informatika', 'bilingual'];id;mahasiswa, teknik, informatika, bilingual;mahasiswa, teknik, informatika, bilingual
109;['kampus', 'laku', 'skripsi'];ood;kampus, laku, skripsi;kampus, laku, skripsi
110;['tampil', 'mahasiswa', 'ipk', 'atas'];id;tampil, mahasiswa, ipk, atas;tampil, mahasiswa, ipk, atas
111;['organisasi', 'mahasiswa', 'unsri'];ood;organisasi, mahasiswa, unsri;organisasi, mahasiswa, unsri
112;['nilai', 'turun'];ood;nilai, turun;nilai, turun
113;['data', 'dosen', 'bimbing', 'nadia', 'rizky', 'hairunnisa'];id;data, dosen, bimbing, nadia, rizky, hairunnisa;data, dosen, bimbing, nadia, rizky, hairunnisa
114;['tampil', 'data', 'pribadi'];id;tampil, data, pribadi;tampil, data, pribadi
115;['sks', 'semester'];id;sks, semester;sks, semester
116;['darimana', 'bayi', 'lahir'];ood;darimana, bayi, lahir;darimana, bayi, lahir
117;['batas', 'sks', 'maksimum', 'ambil', 'semester'];id;batas, sks, maksimum, ambil, semester;batas, sks, maksimum, ambil, semester
118;['data', 'dosen', 'bimbing', 'adi', 'kurniawan'];id;data, dosen, bimbing, adi, kurniawan;data, dosen, bimbing, adi, kurniawan
119;['nama', 'hero', 'blackclover'];ood;nama, hero, blackclover;nama, hero, blackclover
120;['tampil', 'data', 'nim', 'mahasiswa', 'angkat'];id;tampil, data, nim, mahasiswa, angkat;tampil, data, nim, mahasiswa, angkat
121;['nip', 'dosen', 'bimbing', 'akademik'];id;nip, dosen, bimbing, akademik;nip, dosen, bimbing, akademik
122;['febyk', 'marah', 'annisa', 'rajuk', 'cantik'];ood;febyk, marah, annisa, rajuk, cantik;febyk, marah, annisa, rajuk, cantik
123;['aktor', 'korea', 'suka'];ood;aktor, korea, suka;aktor, korea, suka
124;['nilai', 'mahasiswa', 'nim'];id;nilai, mahasiswa, nim;nilai, mahasiswa, nim
125;['nama', 'dekan', 'fasilkom'];ood;nama, dekan, fasilkom;nama, dekan, fasilkom
126;['nama', 'president', 'ri'];ood;nama, president, ri;nama, president, ri
127;['sks', 'tempuh'];id;sks, tempuh;sks, tempuh
128;['nama', 'kucing', 'pelihara'];ood;nama, kucing, pelihara;nama, kucing, pelihara
129;['sebut', 'nama', 'kelas', 'nilai', 'uas'];id;sebut, nama, kelas, nilai, uas;sebut, nama, kelas, nilai, uas
130;['tampil', 'sks', 'ambil', 'semster', 'pendek'];id;tampil, sks, ambil, semster, pendek;tampil, sks, ambil, semster, pendek
131;['buku', 'judul', 'pergi', 'karya'];ood;buku, judul, pergi, karya;buku, judul, pergi, karya
132;['transkip', 'nilai'];id;transkip, nilai;transkip, nilai
133;['tanggal', 'unsri', 'diri'];ood;tanggal, unsri, diri;tanggal, unsri, diri
134;['ipk'];id;ipk;ipk
135;['indonesia', 'merdeka'];ood;indonesia, merdeka;indonesia, merdeka
136;['history', 'mata', 'kuliah', 'struktur', 'diskrit'];id;history, mata, kuliah, struktur, diskrit;history, mata, kuliah, struktur, diskrit
137;['tampil', 'program', 'studi'];id;tampil, program, studi;tampil, program, studi
138;['tidur'];ood;tidur;tidur
139;['tampil', 'mata', 'kuliah', 'ambil', 'semester'];id;tampil, mata, kuliah, ambil, semester;tampil, mata, kuliah, ambil, semester
140;['tampil', 'kartu', 'hasil', 'studi', 'semester'];id;tampil, kartu, hasil, studi, semester;tampil, kartu, hasil, studi, semester
141;['tampil', 'semester', 'pendek', 'semester'];id;tampil, semester, pendek, semester;tampil, semester, pendek, semester
142;['tampil', 'nama', 'dosen', 'pa'];id;tampil, nama, dosen, pa;tampil, nama, dosen, pa
143;['kurun', 'cepat', 'proses', 'move', 'on', 'tinggal', 'pasca', 'hubung', 'status'];ood;kurun, cepat, proses, move, on, tinggal, pasca, hubung, status;kurun, cepat, proses, move, on, tinggal, pasca, hubung, status
144;['tampil', 'mata', 'kuliah', 'ulang'];id;tampil, mata, kuliah, ulang;tampil, mata, kuliah, ulang
145;['nama', 'dekan', 'fakultas', 'ilmu', 'komputer', 'universitas', 'sriwijaya'];ood;nama, dekan, fakultas, ilmu, komputer, universitas, sriwijaya;nama, dekan, fakultas, ilmu, komputer, universitas, sriwijaya
146;['tentu', 'ajar'];ood;tentu, ajar;tentu, ajar
147;['history', 'mata', 'kuliah', 'struktur', 'diskrit'];id;history, mata, kuliah, struktur, diskrit;history, mata, kuliah, struktur, diskrit
148;['tampil', 'tanggal', 'test', 'suliet'];id;tampil, tanggal, test, suliet;tampil, tanggal, test, suliet
149;['temu', 'mahasiswa', 'kalkulus', 'nilai', 'e'];id;temu, mahasiswa, kalkulus, nilai, e;temu, mahasiswa, kalkulus, nilai, e
150;['buku', 'judul', 'hujan', 'karya'];ood;buku, judul, hujan, karya;buku, judul, hujan, karya
151;['semester', 'pendek', 'semester'];id;semester, pendek, semester;semester, pendek, semester
152;['nama', 'pribadi', 'sesuai', 'tera', 'akademik'];id;nama, pribadi, sesuai, tera, akademik;nama, pribadi, sesuai, tera, akademik
153;['tampil', 'tanggal', 'isi', 'krs'];id;tampil, tanggal, isi, krs;tampil, tanggal, isi, krs
154;['tampil', 'kartu', 'rencana', 'studi', 'semester', 'pendek'];id;tampil, kartu, rencana, studi, semester, pendek;tampil, kartu, rencana, studi, semester, pendek
155;['tampil', 'sks', 'semester'];id;tampil, sks, semester;tampil, sks, semester
156;['tulis', 'buku', 'saddha'];ood;tulis, buku, saddha;tulis, buku, saddha
157;['tampil', 'data', 'mahasiswa', 'lulus'];id;tampil, data, mahasiswa, lulus;tampil, data, mahasiswa, lulus
158;['sks', 'ambil', 'semster', 'pendek'];id;sks, ambil, semster, pendek;sks, ambil, semster, pendek
159;['history', 'mata', 'kuliah', 'algoritma', 'pemrogramman'];id;history, mata, kuliah, algoritma, pemrogramman;history, mata, kuliah, algoritma, pemrogramman
160;['tampil', 'history', 'mata', 'kuliah', 'kalkulus'];id;tampil, history, mata, kuliah, kalkulus;tampil, history, mata, kuliah, kalkulus
161;['bawa', 'kucing', 'menyebrangi', 'pulau'];ood;bawa, kucing, menyebrangi, pulau;bawa, kucing, menyebrangi, pulau
162;['tampil', 'mata', 'kuliah', 'nilai', 'd'];id;tampil, mata, kuliah, nilai, d;tampil, mata, kuliah, nilai, d
163;['turun', 'berat', 'badan', 'sehat'];ood;turun, berat, badan, sehat;turun, berat, badan, sehat
164;['mata', 'kuliah', 'ambil', 'semester'];id;mata, kuliah, ambil, semester;mata, kuliah, ambil, semester
165;['tampil', 'nim'];id;tampil, nim;tampil, nim
166;['sks', 'semester'];id;sks, semester;sks, semester
167;['tanggal', 'test', 'usept'];id;tanggal, test, usept;tanggal, test, usept
168;['tampil', 'maksimum', 'ambil', 'semester', 'pendek'];id;tampil, maksimum, ambil, semester, pendek;tampil, maksimum, ambil, semester, pendek
169;['mana', 'teori', 'hujan', 'temu', 'kali'];ood;mana, teori, hujan, temu, kali;mana, teori, hujan, temu, kali
170;['ajar'];ood;ajar;ajar
171;['tampil', 'ip', 'semester'];id;tampil, ip, semester;tampil, ip, semester
172;['tampil', 'sks', 'ambil', 'mahasiswa', 'nim'];id;tampil, sks, ambil, mahasiswa, nim;tampil, sks, ambil, mahasiswa, nim
173;['youtuber', 'no', 'indonesia'];ood;youtuber, no, indonesia;youtuber, no, indonesia
174;['semester', 'pendek', 'semester'];id;semester, pendek, semester;semester, pendek, semester
175;['unsri', 'diri'];ood;unsri, diri;unsri, diri
176;['tampil', 'kartu', 'hasil', 'studi', 'semester'];id;tampil, kartu, hasil, studi, semester;tampil, kartu, hasil, studi, semester
177;['tampil', 'mahasiswa', 'dasar', 'jenis', 'kelamin'];id;tampil, mahasiswa, dasar, jenis, kelamin;tampil, mahasiswa, dasar, jenis, kelamin
178;['daftar', 'aju', 'beasiswa', 'kampus', 'unsri'];ood;daftar, aju, beasiswa, kampus, unsri;daftar, aju, beasiswa, kampus, unsri
179;['orang', 'kali', 'darat', 'pluto'];ood;orang, kali, darat, pluto;orang, kali, darat, pluto
180;['tampil', 'ip', 'semester'];id;tampil, ip, semester;tampil, ip, semester
181;['ipk', 'semester'];id;ipk, semester;ipk, semester
182;['sebut', 'mata', 'kuliah', 'pilih', 'semester'];id;sebut, mata, kuliah, pilih, semester;sebut, mata, kuliah, pilih, semester
